Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alexander Steen,F,3/1/1984,0.002,-0.004,0.006,0.002,0.004,-0.004,0.010,0.003,0.004,0.003,0.000,0.002,0.004,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,0.008,
Alexander Wennberg,F,9/22/1994,,,,,,,,-0.004,-0.003,0.002,0.000,-0.005,0.000,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,-0.001,0.009,0.009,0.009,0.006,0.003,-0.006,0.006,-0.001,0.006,0.001,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Grenier,F,9/5/1991,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,-0.002,0.001,-0.001,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,0.005,-0.001,0.008
Alexei Ponikarovsky,F,4/9/1980,0.003,0.005,0.003,-0.001,-0.002,-0.001,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
Alexis Lafrenière,F,10/11/2001,,,,,,,,,,,,,,0.007,0.009
Aliaksei Protas,F,1/6/2001,,,,,,,,,,,,,,,-0.003
Anders Bjork,F,8/5/1996,,,,,,,,,,,,,0.003,0.003,0.001
Anders Lee,F,7/3/1990,,,,,,,,0.001,-0.006,0.009,0.009,0.000,-0.001,,0.003
Andre Burakovsky,F,2/9/1995,,,,,,,,0.001,0.006,0.002,0.003,0.003,0.016,0.012,0.007
Andre Deveaux,F,2/23/1984,,,,,,,,,,,,,,,
Andre Petersson,F,9/11/1990,,,,,,,,,,,,,,,
Andre Roy,F,2/8/1975,0.005,0.008,,,,,,,,,,,,,
Andreas Athanasiou,F,8/6/1994,,,,,,,,,0.010,0.010,0.003,0.008,-0.002,0.006,
Andreas Engqvist,F,12/23/1987,,,,,,,,,,,,,,,
Andreas Johnsson,F,11/21/1994,,,,,,,,,,,,0.007,-0.004,-0.003,0.001
Andreas Karlsson,F,8/19/1975,0.001,,,,,,,,,,,,,,
Andreas Martinsen,F,6/13/1990,,,,,,,,,0.000,-0.004,,,,,
Andreas Nodl,F,2/28/1987,,-0.003,,-0.001,-0.006,,,,,,,,,,
Andreas Thuresson,F,11/18/1987,,,,,,,,,,,,,,,
Andrei Chibisov,F,2/26/1993,,,,,,,,,,,,,,,
Andrei Kostitsyn,F,2/3/1985,0.005,0.008,0.002,0.002,0.002,,,,,,,,,,
Andrei Loktionov,F,5/30/1990,,,,,-0.004,,-0.002,,,,,,,,
Andrei Svechnikov,F,3/26/2000,,,,,,,,,,,,0.000,0.001,-0.004,0.000
Andrej Nestrasil,F,2/22/1991,,,,,,,,-0.006,-0.004,,,,,,
Andrew Agozzino,F,1/3/1991,,,,,,,,,,,,,,,
Andrew Brunette,F,8/24/1973,0.004,0.007,0.006,0.005,0.007,,,,,,,,,,
Andrew Cogliano,F,6/14/1987,0.008,0.004,-0.002,-0.001,0.002,0.006,0.003,0.001,-0.003,0.000,-0.006,-0.004,-0.003,-0.002,-0.002
Andrew Copp,F,7/8/1994,,,,,,,,,0.004,0.001,-0.002,0.000,0.001,-0.001,0.003
Andrew Crescenzi,F,7/29/1992,,,,,,,,,,,,,,,
Andrew Desjardins,F,7/27/1986,,,,,-0.002,-0.008,-0.004,0.002,-0.002,-0.008,,,,,
Andrew Ebbett,F,1/2/1983,,-0.009,0.002,-0.004,,,,,,,,,,,
Andrew Gordon,F,12/13/1985,,,,,-0.003,,,,,,,,,,
Andrew Joudrey,F,7/15/1984,,,,,,,,,,,,,,,
Andrew Ladd,F,12/12/1985,0.005,0.002,0.004,0.004,0.003,0.008,0.003,0.001,0.002,0.007,0.002,,,,0.002
Andrew Mangiapane,F,4/4/1996,,,,,,,,,,,,0.004,0.003,0.008,0.007
Andrew Miller,F,9/18/1988,,,,,,,,,,,,,,,
Andrew Murray,F,11/6/1981,0.006,0.002,0.000,,-0.004,,,,,,,,,,
Andrew Peters,F,5/5/1980,0.003,,,,,,,,,,,,,,
Andrew Poturalski,F,1/14/1994,,,,,,,,,,,,,,,
Andrew Shaw,F,7/20/1991,,,,,0.010,0.002,0.001,-0.005,-0.005,-0.001,-0.004,0.003,,,
Andy Andreoff,F,5/17/1991,,,,,,,,,0.006,-0.011,-0.001,,,,
Andy Hilbert,F,2/6/1981,0.000,0.000,,,,,,,,,,,,,
Andy McDonald,F,8/25/1977,0.004,0.002,0.007,0.003,,0.005,,,,,,,,,
Andy Miele,F,4/15/1988,,,,,,,,,,,,,,,
Anthony Angello,F,3/6/1996,,,,,,,,,,,,,,,
Anthony Beauvillier,F,6/8/1997,,,,,,,,,,0.001,0.008,0.002,0.003,0.005,-0.006
Anthony Cirelli,F,7/15/1997,,,,,,,,,,,,0.001,0.002,0.000,-0.001
Anthony Duclair,F,8/26/1995,,,,,,,,,0.004,-0.003,0.002,0.002,0.004,-0.003,0.008
Anthony Greco,F,9/30/1993,,,,,,,,,,,,,,,
Anthony Mantha,F,9/16/1994,,,,,,,,,,0.005,0.001,0.006,0.001,0.004,0.004
Anthony Peluso,F,4/18/1989,,,,,,,-0.003,-0.007,-0.002,,,,,,
Anthony Richard,F,12/20/1996,,,,,,,,,,,,,,,
Anthony Stewart,F,1/5/1985,,-0.006,,-0.002,0.006,,,,,,,,,,
Antoine Roussel,F,11/21/1989,,,,,,0.006,0.000,0.001,0.001,0.007,-0.004,0.000,0.002,-0.003,-0.003
Antoine Vermette,F,7/20/1982,0.006,0.000,0.004,0.001,-0.004,0.002,0.003,0.000,0.002,-0.002,-0.001,,,,
Anton Blidh,F,3/14/1995,,,,,,,,,,,,,,,-0.001
Anton Lander,F,4/24/1991,,,,,-0.006,,,-0.006,-0.004,,,,,,
Anton Lundell,F,10/3/2001,,,,,,,,,,,,,,,0.005
Anton Rodin,F,11/21/1990,,,,,,,,,,,,,,,
Anton Slepyshev,F,5/13/1994,,,,,,,,,,0.001,-0.003,,,,
Anton Wedin,F,3/1/1993,,,,,,,,,,,,,,,
Antti Miettinen,F,7/3/1980,0.002,0.000,0.004,0.000,0.000,,,,,,,,,,
Antti Pihlstrom,F,10/22/1984,,-0.008,,,,,,,,,,,,,
Antti Suomela,F,3/17/1994,,,,,,,,,,,,,,,
Anze Kopitar,F,8/24/1987,0.004,0.003,0.003,0.002,-0.001,0.005,0.004,-0.001,0.005,-0.004,0.011,0.005,0.004,0.002,0.002
Arron Asham,F,4/13/1978,0.003,0.005,0.003,0.005,0.004,,,,,,,,,,
Artem Anisimov,F,5/24/1988,,,0.000,-0.002,-0.001,0.012,0.006,0.000,0.001,0.009,-0.002,-0.001,0.006,,
Artemi Panarin,F,10/30/1991,,,,,,,,,0.006,0.005,0.003,0.008,0.011,0.010,0.006
Arthur Kaliyev,F,6/26/2001,,,,,,,,,,,,,,,-0.005
Arttu Ruotsalainen,F,10/29/1997,,,,,,,,,,,,,,,
Artturi Lehkonen,F,7/4/1995,,,,,,,,,,0.001,-0.008,-0.003,0.000,-0.001,-0.001
Austin Czarnik,F,12/12/1992,,,,,,,,,,0.001,,-0.001,,,
Austin Poganski,F,2/16/1996,,,,,,,,,,,,,,,
Austin Wagner,F,6/23/1997,,,,,,,,,,,,0.008,-0.011,-0.003,
Austin Watson,F,1/13/1992,,,,,,,,,-0.002,-0.002,0.002,0.000,0.002,-0.001,0.003
Auston Matthews,F,9/17/1997,,,,,,,,,,0.005,0.012,0.004,0.012,0.012,0.013
Axel Jonsson-Fjallby,F,2/10/1998,,,,,,,,,,,,,,,
B.J. Crombeen,F,7/10/1985,,0.002,-0.002,-0.001,-0.007,-0.006,-0.001,-0.001,,,,,,,
Barclay Goodrow,F,2/26/1993,,,,,,,,-0.002,,,0.001,-0.001,-0.002,-0.001,-0.001
Barrett Hayton,F,6/9/2000,,,,,,,,,,,,,,,0.001
Barry Tallackson,F,4/14/1983,,,,,,,,,,,,,,,
Bates Battaglia,F,12/13/1975,,,,,,,,,,,,,,,
Beau Bennett,F,11/27/1991,,,,,,,,-0.003,0.003,0.000,,,,,
Beck Malenstyn,F,2/4/1998,,,,,,,,,,,,,,,
Ben Eager,F,1/22/1984,-0.008,0.009,0.001,0.001,0.004,,,,,,,,,,
Ben Guite,F,7/17/1978,0.004,0.003,,,,,,,,,,,,,
Ben Hanowski,F,10/18/1990,,,,,,,,,,,,,,,
Ben Holmstrom,F,4/9/1987,,,,,,,,,,,,,,,
Ben Jones,F,2/26/1999,,,,,,,,,,,,,,,
Ben Maxwell,F,3/30/1988,,,,,,,,,,,,,,,
Ben McCartney,F,7/13/2001,,,,,,,,,,,,,,,
Ben Meyers,F,11/15/1998,,,,,,,,,,,,,,,
Ben Ondrus,F,6/25/1982,,,,,,,,,,,,,,,
Ben Sexton,F,6/6/1991,,,,,,,,,,,,,,,
Ben Smith,F,7/11/1988,,,,,,,0.003,-0.004,,-0.004,,,,,
Ben Street,F,2/13/1987,,,,,,,,,,,,,,,
Ben Thomson,F,1/16/1993,,,,,,,,,,,,,,,
Ben Walter,F,5/11/1984,,,,,,,,,,,,,,,
Benn Ferriero,F,4/29/1987,,,,0.000,0.003,,,,,,,,,,
Benoit Pouliot,F,9/29/1986,,0.004,0.007,0.004,0.007,0.008,-0.004,0.008,0.002,0.003,0.006,,,,
Benoit-Olivier Groulx,F,2/6/2000,,,,,,,,,,,,,,,
Bill Arnold,F,5/13/1992,,,,,,,,,,,,,,,
Bill Guerin,F,11/9/1970,0.008,0.010,0.004,,,,,,,,,,,,
Bill Sweatt,F,9/21/1988,,,,,,,,,,,,,,,
Bill Thomas,F,6/20/1983,,,,,,,,,,,,,,,
Blair Betts,F,2/16/1980,-0.006,-0.002,0.002,0.001,,,,,,,,,,,
Blair Jones,F,9/27/1986,,,,,-0.004,,,,,,,,,,
Blake Coleman,F,11/28/1991,,,,,,,,,,,-0.003,-0.002,0.002,0.002,-0.003
Blake Comeau,F,2/18/1986,0.002,-0.003,0.008,0.006,-0.003,0.002,-0.003,0.005,-0.001,-0.002,0.003,0.000,0.003,-0.002,
Blake Geoffrion,F,2/3/1988,,,,,0.000,,,,,,,,,,
Blake Lizotte,F,12/13/1997,,,,,,,,,,,,,-0.007,-0.002,0.000
Blake Pietila,F,2/20/1993,,,,,,,,,,,,,,,
Blake Speers,F,1/2/1997,,,,,,,,,,,,,,,
Blake Wheeler,F,8/31/1986,,0.004,0.002,0.005,-0.005,0.005,0.002,0.002,0.003,0.003,0.003,0.002,0.005,0.006,0.002
Bo Horvat,F,4/5/1995,,,,,,,,0.004,0.001,0.000,0.001,0.001,-0.004,0.002,0.002
Bobby Brink,F,7/8/2001,,,,,,,,,,,,,,,
Bobby Butler,F,4/26/1987,,,,0.008,-0.001,0.001,,,,,,,,,
Bobby Farnham,F,1/21/1989,,,,,,,,,0.007,,,,,,
Bobby Holik,F,1/1/1971,0.007,0.004,,,,,,,,,,,,,
Bobby Robins,F,10/17/1981,,,,,,,,,,,,,,,
Bobby Ryan,F,3/17/1987,,0.011,0.004,0.006,0.007,0.001,0.003,0.002,0.002,0.004,0.003,-0.001,,0.008,
Bogdan Yakimov,F,10/4/1994,,,,,,,,,,,,,,,
Bokondji Imama,F,8/3/1996,,,,,,,,,,,,,,,
Boo Nieves,F,1/23/1994,,,,,,,,,,,,0.004,,,
Boone Jenner,F,6/15/1993,,,,,,,0.001,-0.003,0.000,-0.001,-0.003,0.000,-0.004,0.000,0.004
Boris Katchouk,F,6/18/1998,,,,,,,,,,,,,,,-0.004
Borna Rendulic,F,3/25/1992,,,,,,,,,,,,,,,
Boyd Devereaux,F,4/16/1978,0.000,,,,,,,,,,,,,,
Boyd Gordon,F,10/19/1983,-0.003,-0.002,0.003,-0.005,-0.002,-0.002,0.000,0.000,-0.004,,,,,,
Boyd Kane,F,4/18/1978,,,,,,,,,,,,,,,
Bracken Kearns,F,5/12/1981,,,,,,,,,,,,,,,
Brad Boyes,F,4/17/1982,0.017,0.003,-0.004,-0.001,0.000,0.002,0.005,-0.001,0.001,,,,,,
Brad Isbister,F,5/7/1977,0.003,,,,,,,,,,,,,,
Brad Larsen,F,6/28/1977,-0.003,,,,,,,,,,,,,,
Brad Malone,F,5/20/1989,,,,,,,0.009,0.000,-0.003,,,,,,
Brad Marchand,F,5/11/1988,,,,0.003,0.009,0.008,0.005,0.006,0.009,0.007,0.011,0.005,0.010,0.013,0.006
Brad May,F,11/29/1971,0.005,0.002,-0.002,,,,,,,,,,,,
Brad Mills,F,5/3/1983,,,,,,,,,,,,,,,
Brad Richards,F,5/2/1980,-0.001,0.005,0.000,0.010,0.006,0.002,0.002,0.002,0.001,,,,,,
Brad Richardson,F,2/4/1985,,-0.009,-0.001,-0.004,-0.008,,0.000,0.001,0.001,,-0.006,0.008,-0.001,,0.007
Brad Staubitz,F,7/28/1984,,0.001,0.001,0.005,-0.005,,,,,,,,,,
Brad Winchester,F,3/1/1981,-0.004,0.003,-0.006,0.001,0.002,,,,,,,,,,
Brady Murray,F,8/17/1984,,,,,,,,,,,,,,,
Brady Tkachuk,F,9/16/1999,,,,,,,,,,,,0.000,-0.004,-0.005,0.001
Brandon Baddock,F,3/29/1995,,,,,,,,,,,,,,,
Brandon Biro,F,3/11/1998,,,,,,,,,,,,,,,
Brandon Bochenski,F,4/4/1982,-0.005,,,,,,,,,,,,,,
Brandon Bollig,F,1/31/1987,,,,,,,-0.001,-0.005,-0.001,,,,,,
Brandon DeFazio,F,9/13/1988,,,,,,,,,,,,,,,
Brandon Dubinsky,F,4/29/1986,0.002,-0.003,0.001,0.001,-0.004,,-0.003,0.007,-0.002,0.000,-0.002,0.001,,,
Brandon Duhaime,F,5/22/1997,,,,,,,,,,,,,,,-0.003
Brandon Gignac,F,11/7/1997,,,,,,,,,,,,,,,
Brandon Hagel,F,8/27/1998,,,,,,,,,,,,,,0.001,0.007
Brandon Kozun,F,3/8/1990,,,,,,,,,,,,,,,
Brandon Mashinter,F,9/20/1988,,,,,,,,,0.006,,,,,,
Brandon McMillan,F,3/22/1990,,,,0.000,,,,-0.010,,,,,,,
Brandon Nolan,F,7/18/1983,,,,,,,,,,,,,,,
Brandon Pirri,F,4/10/1991,,,,,,,0.007,0.009,0.003,-0.004,,0.008,,,
Brandon Prust,F,3/16/1984,,-0.005,0.001,-0.001,-0.005,0.004,0.006,-0.002,-0.001,,,,,,
Brandon Saad,F,10/27/1992,,,,,,0.001,0.002,0.003,0.004,0.003,-0.003,-0.001,0.004,0.012,0.002
Brandon Segal,F,7/12/1983,,,0.006,0.004,,,,,,,,,,,
Brandon Sutter,F,2/14/1989,,-0.006,0.006,0.001,-0.001,0.004,-0.001,0.002,,0.002,0.005,,0.004,0.004,
Brandon Tanev,F,12/31/1991,,,,,,,,,,-0.004,-0.003,0.001,0.003,0.004,
Brandon Yip,F,4/25/1985,,,0.004,0.001,0.000,0.002,,,,,,,,,
Branko Radivojevic,F,11/24/1980,0.001,,,,,,,,,,,,,,
Brayden Point,F,3/13/1996,,,,,,,,,,0.003,0.003,0.001,0.004,0.007,0.003
Brayden Schenn,F,8/22/1991,,,,,0.000,0.000,0.001,0.000,0.002,-0.003,0.002,-0.004,0.006,0.001,0.009
Brayden Tracey,F,5/28/2001,,,,,,,,,,,,,,,
Brendan Gallagher,F,5/6/1992,,,,,,0.006,-0.006,-0.002,-0.001,-0.008,0.001,0.002,-0.001,0.003,-0.015
Brendan Gaunce,F,3/25/1994,,,,,,,,,,-0.007,-0.002,,,,
Brendan Leipsic,F,5/19/1994,,,,,,,,,,,-0.003,-0.001,-0.003,,
Brendan Lemieux,F,3/15/1996,,,,,,,,,,,,0.011,-0.008,0.000,0.002
Brendan Morrison,F,8/15/1975,0.007,0.007,0.003,0.002,0.003,,,,,,,,,,
Brendan Perlini,F,4/27/1996,,,,,,,,,,0.007,0.003,0.002,-0.008,,
Brendan Ranford,F,5/3/1992,,,,,,,,,,,,,,,
Brendan Shanahan,F,1/23/1969,0.007,0.005,,,,,,,,,,,,,
Brendan Shinnimin,F,1/7/1991,,,,,,,,,,,,,,,
Brendan Woods,F,6/11/1992,,,,,,,,,,,,,,,
Brenden Morrow,F,1/16/1979,0.005,,0.001,0.008,0.001,0.012,0.008,0.000,,,,,,,
Brett Bulmer,F,4/26/1992,,,,,,,,,,,,,,,
Brett Connolly,F,5/2/1992,,,,,-0.006,,,0.007,-0.003,0.012,0.006,0.007,0.008,,
Brett Gallant,F,12/28/1988,,,,,,,,,,,,,,,
Brett Howden,F,3/29/1998,,,,,,,,,,,,-0.002,0.001,-0.008,0.005
Brett Leason,F,4/30/1999,,,,,,,,,,,,,,,-0.001
Brett MacLean,F,12/24/1988,,,,,,,,,,,,,,,
Brett McLean,F,8/14/1978,0.003,0.001,,,,,,,,,,,,,
Brett Murray,F,7/20/1998,,,,,,,,,,,,,,,
Brett Ritchie,F,7/1/1993,,,,,,,,-0.001,,0.002,-0.006,-0.003,,0.000,-0.004
Brett Seney,F,2/28/1996,,,,,,,,,,,,0.001,,,
Brett Sterling,F,4/24/1984,,,,,,,,,,,,,,,
Brett Sutter,F,6/2/1987,,,,,,,,,,,,,,,
Brian Boyle,F,12/18/1984,,,-0.006,-0.002,-0.003,-0.006,-0.006,0.004,0.002,0.001,0.003,0.006,0.003,,0.010
Brian Ferlin,F,6/3/1992,,,,,,,,,,,,,,,
Brian Flynn,F,7/26/1988,,,,,,,-0.002,0.000,-0.003,0.005,,,,,
Brian Gibbons,F,2/26/1988,,,,,,,0.003,,,,0.006,0.006,,,
Brian Gionta,F,1/18/1979,-0.001,0.000,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.005,,,,,
Brian McGrattan,F,9/2/1981,-0.004,,0.000,,,,0.002,,,,,,,,
Brian O'Neill,F,6/1/1988,,,,,,,,,,,,,,,
Brian Pinho,F,5/11/1995,,,,,,,,,,,,,,,
Brian Rolston,F,2/21/1973,0.009,0.002,0.005,0.005,0.003,,,,,,,,,,
Brian Sutherby,F,3/1/1982,-0.006,0.002,0.006,-0.003,,,,,,,,,,,
Brian Willsie,F,3/16/1978,-0.003,-0.006,,,,,,,,,,,,,
Brock Boeser,F,2/25/1997,,,,,,,,,,,0.011,0.006,-0.001,0.003,-0.003
Brock McGinn,F,2/2/1994,,,,,,,,,,-0.001,-0.006,-0.006,-0.004,0.004,0.002
Brock Nelson,F,10/15/1991,,,,,,,0.001,-0.004,0.009,0.007,0.004,0.006,0.008,0.000,0.011
Brodie Dupont,F,2/17/1987,,,,,,,,,,,,,,,
Brody Sutter,F,9/26/1991,,,,,,,,,,,,,,,
Brooks Laich,F,6/23/1983,0.001,0.001,-0.003,-0.001,-0.003,,0.002,-0.003,-0.006,,,,,,
Bryan Bickell,F,3/9/1986,,,,0.006,0.004,0.007,0.007,0.004,,,,,,,
Bryan Lerg,F,1/20/1986,,,,,,,,,,,,,,,
Bryan Little,F,11/12/1987,-0.001,0.007,-0.002,0.002,0.004,-0.004,0.000,0.003,0.001,0.006,0.004,0.003,,,
Bryan Rust,F,5/11/1992,,,,,,,,,-0.004,0.004,-0.005,0.003,0.006,0.002,0.001
Bryan Smolinski,F,12/27/1971,0.006,,,,,,,,,,,,,,
Bryce Kindopp,F,6/14/1999,,,,,,,,,,,,,,,
Bryce Van Brabant,F,11/12/1991,,,,,,,,,,,,,,,
Bud Holloway,F,3/1/1988,,,,,,,,,,,,,,,
Buddy Robinson,F,9/30/1991,,,,,,,,,,,,,,,-0.006
Byron Bitz,F,7/21/1984,,0.006,0.001,,,,,,,,,,,,
Byron Froese,F,3/12/1991,,,,,,,,,-0.006,,-0.004,,,,
Byron Ritchie,F,4/24/1977,0.000,,,,,,,,,,,,,,
C.J. Smith,F,12/1/1994,,,,,,,,,,,,,,,
Cal Clutterbuck,F,11/18/1987,,0.001,0.002,0.003,-0.001,-0.002,-0.005,-0.007,0.010,-0.006,0.001,-0.005,0.000,-0.002,0.000
Cal O'Reilly,F,9/30/1986,,,-0.002,0.003,-0.002,,,,,,,,,,
Calle Jarnkrok,F,9/25/1991,,,,,,,,-0.003,0.001,0.001,0.005,0.000,0.002,0.007,0.002
Calvin Thurkauf,F,6/27/1997,,,,,,,,,,,,,,,
Cam Atkinson,F,6/5/1989,,,,,,-0.001,0.000,-0.003,-0.001,0.004,0.000,0.006,-0.001,0.000,0.004
Cam Janssen,F,4/15/1984,,-0.002,-0.006,-0.001,-0.003,,,,,,,,,,
Cam Paddock,F,3/22/1983,,,,,,,,,,,,,,,
Cameron Hillis,F,6/24/2000,,,,,,,,,,,,,,,
Cameron Hughes,F,10/9/1996,,,,,,,,,,,,,,,
Carl Grundstrom,F,12/1/1997,,,,,,,,,,,,,,0.003,0.001
Carl Hagelin,F,8/23/1988,,,,,-0.001,-0.002,0.002,-0.001,-0.001,-0.005,-0.003,-0.004,-0.002,-0.003,-0.004
Carl Klingberg,F,1/28/1991,,,,,,,,,,,,,,,
Carl Soderberg,F,10/12/1985,,,,,,,0.003,-0.002,-0.002,-0.001,0.004,0.005,0.002,0.001,
Carsen Twarynski,F,11/24/1997,,,,,,,,,,,,,,,
