Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,20.744,
Alexander Wennberg,F,9/22/1994,,,,,,,,4.655,9.622,12.621,9.954,0.072,6.920,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,7.080,15.708,14.768,18.097,14.292,11.690,4.540,12.660,7.442,12.836,8.552,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Grenier,F,9/5/1991,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,0.154,5.522,2.400,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,12.785,6.452,19.491
Alexei Ponikarovsky,F,4/9/1980,13.298,11.918,10.447,5.172,7.770,8.880,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
Alexis Lafrenière,F,10/11/2001,,,,,,,,,,,,,,18.900,20.135
Aliaksei Protas,F,1/6/2001,,,,,,,,,,,,,,,9.925
Anders Bjork,F,8/5/1996,,,,,,,,,,,,,12.854,14.362,10.220
Anders Lee,F,7/3/1990,,,,,,,,12.192,4.980,16.780,18.078,12.578,10.967,,16.030
Andre Burakovsky,F,2/9/1995,,,,,,,,12.390,15.075,9.572,13.771,11.374,22.292,19.250,14.880
Andre Deveaux,F,2/23/1984,,,,,,,,,,,,,,,
Andre Petersson,F,9/11/1990,,,,,,,,,,,,,,,
Andre Roy,F,2/8/1975,12.310,12.800,,,,,,,,,,,,,
Andreas Athanasiou,F,8/6/1994,,,,,,,,,15.772,15.861,10.224,14.192,7.790,13.160,
Andreas Engqvist,F,12/23/1987,,,,,,,,,,,,,,,
Andreas Johnsson,F,11/21/1994,,,,,,,,,,,,16.262,6.270,6.450,11.228
Andreas Karlsson,F,8/19/1975,8.570,,,,,,,,,,,,,,
Andreas Martinsen,F,6/13/1990,,,,,,,,,8.020,4.290,,,,,
Andreas Nodl,F,2/28/1987,,3.422,,9.934,4.762,,,,,,,,,,
Andreas Thuresson,F,11/18/1987,,,,,,,,,,,,,,,
Andrei Chibisov,F,2/26/1993,,,,,,,,,,,,,,,
Andrei Kostitsyn,F,2/3/1985,12.331,12.384,8.402,8.840,9.910,,,,,,,,,,
Andrei Loktionov,F,5/30/1990,,,,,3.902,,7.844,,,,,,,,
Andrei Svechnikov,F,3/26/2000,,,,,,,,,,,,12.616,14.670,10.025,11.932
Andrej Nestrasil,F,2/22/1991,,,,,,,,7.094,7.602,,,,,,
Andrew Agozzino,F,1/3/1991,,,,,,,,,,,,,,,
Andrew Brunette,F,8/24/1973,14.632,17.246,18.842,16.304,18.085,,,,,,,,,,
Andrew Cogliano,F,6/14/1987,19.295,14.532,7.351,10.254,10.752,15.730,13.290,9.838,5.958,8.367,6.232,5.680,5.720,6.260,6.212
Andrew Copp,F,7/8/1994,,,,,,,,,13.852,11.691,8.104,13.062,8.930,10.590,12.228
Andrew Crescenzi,F,7/29/1992,,,,,,,,,,,,,,,
Andrew Desjardins,F,7/27/1986,,,,,5.080,4.000,3.468,9.698,8.977,0.352,,,,,
Andrew Ebbett,F,1/2/1983,,2.650,10.140,4.568,,,,,,,,,,,
Andrew Gordon,F,12/13/1985,,,,,5.560,,,,,,,,,,
Andrew Joudrey,F,7/15/1984,,,,,,,,,,,,,,,
Andrew Ladd,F,12/12/1985,11.471,8.134,11.792,12.260,10.760,15.808,12.498,9.387,10.492,16.030,12.970,,,,12.082
Andrew Mangiapane,F,4/4/1996,,,,,,,,,,,,13.371,16.824,19.062,16.910
Andrew Miller,F,9/18/1988,,,,,,,,,,,,,,,
Andrew Murray,F,11/6/1981,14.630,8.768,7.538,,3.382,,,,,,,,,,
Andrew Peters,F,5/5/1980,5.898,,,,,,,,,,,,,,
Andrew Poturalski,F,1/14/1994,,,,,,,,,,,,,,,
Andrew Shaw,F,7/20/1991,,,,,19.005,13.602,12.071,8.094,6.692,9.420,6.580,14.308,,,
Andy Andreoff,F,5/17/1991,,,,,,,,,17.852,0.020,6.380,,,,
Andy Hilbert,F,2/6/1981,7.210,6.098,,,,,,,,,,,,,
Andy McDonald,F,8/25/1977,11.222,9.880,12.880,11.190,,10.876,,,,,,,,,
Andy Miele,F,4/15/1988,,,,,,,,,,,,,,,
Anthony Angello,F,3/6/1996,,,,,,,,,,,,,,,
Anthony Beauvillier,F,6/8/1997,,,,,,,,,,10.100,15.925,13.082,12.761,13.054,6.002
Anthony Cirelli,F,7/15/1997,,,,,,,,,,,,13.722,14.401,9.994,10.992
Anthony Duclair,F,8/26/1995,,,,,,,,,17.935,8.202,10.651,11.914,12.572,8.620,17.600
Anthony Greco,F,9/30/1993,,,,,,,,,,,,,,,
Anthony Mantha,F,9/16/1994,,,,,,,,,,13.481,9.834,11.762,10.120,12.000,12.178
Anthony Peluso,F,4/18/1989,,,,,,,8.402,4.370,6.250,,,,,,
Anthony Richard,F,12/20/1996,,,,,,,,,,,,,,,
Anthony Stewart,F,1/5/1985,,3.724,,7.850,15.000,,,,,,,,,,
Antoine Roussel,F,11/21/1989,,,,,,15.714,12.112,12.400,12.380,16.458,6.098,10.447,13.122,4.930,8.020
Antoine Vermette,F,7/20/1982,13.000,9.160,15.098,10.278,5.317,13.862,12.860,9.210,11.790,7.062,10.096,,,,
Anton Blidh,F,3/14/1995,,,,,,,,,,,,,,,7.140
Anton Lander,F,4/24/1991,,,,,2.585,,,4.504,2.402,,,,,,
Anton Lundell,F,10/3/2001,,,,,,,,,,,,,,,15.095
Anton Rodin,F,11/21/1990,,,,,,,,,,,,,,,
Anton Slepyshev,F,5/13/1994,,,,,,,,,,7.531,8.484,,,,
Anton Wedin,F,3/1/1993,,,,,,,,,,,,,,,
Antti Miettinen,F,7/3/1980,8.948,6.548,11.057,6.552,8.740,,,,,,,,,,
Antti Pihlstrom,F,10/22/1984,,1.252,,,,,,,,,,,,,
Antti Suomela,F,3/17/1994,,,,,,,,,,,,,,,
Anze Kopitar,F,8/24/1987,13.685,11.912,10.531,11.134,9.002,11.510,12.420,8.588,15.648,6.987,19.792,15.780,14.860,12.130,10.452
Arron Asham,F,4/13/1978,9.707,11.622,11.820,9.210,11.460,,,,,,,,,,
Artem Anisimov,F,5/24/1988,,,10.482,9.881,10.434,18.942,14.190,10.290,12.518,22.858,9.387,11.272,15.070,,
Artemi Panarin,F,10/30/1991,,,,,,,,,14.452,13.190,11.900,15.398,16.208,19.237,13.332
Arthur Kaliyev,F,6/26/2001,,,,,,,,,,,,,,,5.875
Arttu Ruotsalainen,F,10/29/1997,,,,,,,,,,,,,,,
Artturi Lehkonen,F,7/4/1995,,,,,,,,,,10.812,5.851,7.204,9.752,7.160,11.030
Austin Czarnik,F,12/12/1992,,,,,,,,,,9.872,,12.240,,,
Austin Poganski,F,2/16/1996,,,,,,,,,,,,,,,
Austin Wagner,F,6/23/1997,,,,,,,,,,,,18.302,4.361,6.304,
Austin Watson,F,1/13/1992,,,,,,,,,5.714,5.952,11.920,9.680,12.788,8.188,10.897
Auston Matthews,F,9/17/1997,,,,,,,,,,14.400,18.495,13.342,16.621,18.284,16.252
Axel Jonsson-Fjallby,F,2/10/1998,,,,,,,,,,,,,,,
B.J. Crombeen,F,7/10/1985,,9.724,5.732,5.790,2.040,2.188,5.158,7.167,,,,,,,
Barclay Goodrow,F,2/26/1993,,,,,,,,6.452,,,11.392,8.130,9.090,8.978,12.708
Barrett Hayton,F,6/9/2000,,,,,,,,,,,,,,,12.512
Barry Tallackson,F,4/14/1983,,,,,,,,,,,,,,,
Bates Battaglia,F,12/13/1975,,,,,,,,,,,,,,,
Beau Bennett,F,11/27/1991,,,,,,,,5.714,11.432,7.970,,,,,
Beck Malenstyn,F,2/4/1998,,,,,,,,,,,,,,,
Ben Eager,F,1/22/1984,0.154,13.992,10.310,8.430,11.608,,,,,,,,,,
Ben Guite,F,7/17/1978,12.407,9.282,,,,,,,,,,,,,
Ben Hanowski,F,10/18/1990,,,,,,,,,,,,,,,
Ben Holmstrom,F,4/9/1987,,,,,,,,,,,,,,,
Ben Jones,F,2/26/1999,,,,,,,,,,,,,,,
Ben Maxwell,F,3/30/1988,,,,,,,,,,,,,,,
Ben McCartney,F,7/13/2001,,,,,,,,,,,,,,,
Ben Meyers,F,11/15/1998,,,,,,,,,,,,,,,
Ben Ondrus,F,6/25/1982,,,,,,,,,,,,,,,
Ben Sexton,F,6/6/1991,,,,,,,,,,,,,,,
Ben Smith,F,7/11/1988,,,,,,,15.680,8.140,,6.748,,,,,
Ben Street,F,2/13/1987,,,,,,,,,,,,,,,
Ben Thomson,F,1/16/1993,,,,,,,,,,,,,,,
Ben Walter,F,5/11/1984,,,,,,,,,,,,,,,
Benn Ferriero,F,4/29/1987,,,,8.314,10.522,,,,,,,,,,
Benoit Pouliot,F,9/29/1986,,13.301,14.134,10.502,14.870,15.380,6.628,17.148,10.997,12.662,14.470,,,,
Benoit-Olivier Groulx,F,2/6/2000,,,,,,,,,,,,,,,
Bill Arnold,F,5/13/1992,,,,,,,,,,,,,,,
Bill Guerin,F,11/9/1970,12.944,13.905,12.028,,,,,,,,,,,,
Bill Sweatt,F,9/21/1988,,,,,,,,,,,,,,,
Bill Thomas,F,6/20/1983,,,,,,,,,,,,,,,
Blair Betts,F,2/16/1980,2.548,5.638,10.717,10.612,,,,,,,,,,,
Blair Jones,F,9/27/1986,,,,,5.790,,,,,,,,,,
Blake Coleman,F,11/28/1991,,,,,,,,,,,8.130,8.908,10.018,11.837,7.932
Blake Comeau,F,2/18/1986,11.872,8.461,13.714,12.932,4.090,10.870,4.778,11.928,6.857,5.672,9.510,8.330,12.200,7.362,
Blake Geoffrion,F,2/3/1988,,,,,7.564,,,,,,,,,,
Blake Lizotte,F,12/13/1997,,,,,,,,,,,,,3.081,8.484,10.542
Blake Pietila,F,2/20/1993,,,,,,,,,,,,,,,
Blake Speers,F,1/2/1997,,,,,,,,,,,,,,,
Blake Wheeler,F,8/31/1986,,12.291,11.094,11.322,6.100,15.450,10.718,10.228,10.287,9.852,9.870,9.620,13.670,13.072,12.166
Bo Horvat,F,4/5/1995,,,,,,,,15.180,10.625,11.752,9.991,10.554,8.532,11.360,12.590
Bobby Brink,F,7/8/2001,,,,,,,,,,,,,,,
Bobby Butler,F,4/26/1987,,,,14.214,7.482,9.400,,,,,,,,,
Bobby Farnham,F,1/21/1989,,,,,,,,,16.000,,,,,,
Bobby Holik,F,1/1/1971,14.144,10.015,,,,,,,,,,,,,
Bobby Robins,F,10/17/1981,,,,,,,,,,,,,,,
Bobby Ryan,F,3/17/1987,,15.122,12.761,12.594,15.012,10.360,11.330,8.608,10.958,11.527,11.102,7.190,,11.600,
Bogdan Yakimov,F,10/4/1994,,,,,,,,,,,,,,,
Bokondji Imama,F,8/3/1996,,,,,,,,,,,,,,,
Boo Nieves,F,1/23/1994,,,,,,,,,,,,12.972,,,
