Player,Model I,Model II,2021-22 Actual Score
Tyler Toffoli,0.1653,0.1649,0.1525
Charlie Coyle,0.1082,0.1063,0.0928
Nolan Patrick,0.0850,0.0854,0.1180
Jesperi Kotkaniemi,0.1110,0.1129,0.1038
Adam Henrique,0.0950,0.0939,0.1344
Jason Zucker,0.1122,0.1136,0.1583
Blake Coleman,0.1552,0.1522,0.1878
Conor Sheary,0.1180,0.1178,0.1179
Kevin Fiala,0.1488,0.1492,0.1777
Jared McCann,0.1426,0.1429,0.1305
Clayton Keller,0.1362,0.1369,0.1171
Paul Byron,0.0835,0.0841,0.0993
Ryan Strome,0.1108,0.1093,0.1109
J.T. Miller,0.0930,0.0920,0.1143
Colton Sissons,0.0764,0.0756,0.0732
Danton Heinen,0.1065,0.1087,0.1463
Derek Ryan,0.0772,0.0766,0.0958
Patrik Laine,0.1157,0.1140,0.1373
Alex Iafallo,0.0999,0.1001,0.1420
Leo Komarov,0.0589,0.0568,0.0000
Jordan Staal,0.0995,0.0973,0.1198
Ondrej Palat,0.1019,0.1003,0.1147
Alexander Kerfoot,0.0882,0.0883,0.0977
Pavel Buchnevich,0.1212,0.1217,0.1464
Ryan Hartman,0.1114,0.1110,0.1564
Anthony Beauvillier,0.1322,0.1323,0.1073
Brandon Tanev,0.0965,0.0940,0.1053
Robert Thomas,0.0710,0.0713,0.0800
Patric Hornqvist,0.1641,0.1611,0.2014
Jordan Eberle,0.1208,0.1196,0.1183
Mats Zuccarello,0.0807,0.0842,0.1069
Taylor Hall,0.1432,0.1418,0.1603
Radek Faksa,0.0998,0.0978,0.0810
Brock McGinn,0.1061,0.1063,0.1115
Connor Brown,0.1103,0.1105,0.0925
Anthony Duclair,0.1471,0.1458,0.1375
Jesper Bratt,0.1361,0.1428,0.1581
Nick Cousins,0.1034,0.1007,0.1215
Mark Jankowski,0.0768,0.0758,0.0589
Jordan Martinook,0.1044,0.1012,0.1147
Andrew Copp,0.1066,0.1044,0.1245
Andre Burakovsky,0.1123,0.1128,0.1063
Adrian Kempe,0.1091,0.1099,0.1596
Ivan Barbashev,0.0828,0.0822,0.0802
Jordan Greenway,0.0994,0.0993,0.1316
Mathieu Joseph,0.0986,0.0968,0.0907
Mathieu Perreault,0.0766,0.0773,0.0978
Calle Jarnkrok,0.1040,0.1008,0.1020
Vladislav Namestnikov,0.0978,0.0952,0.0923
Mattias Janmark,0.0848,0.0840,0.0935
Lawson Crouse,0.1183,0.1211,0.1163
Wayne Simmonds,0.1124,0.1121,0.1181
Tanner Pearson,0.1297,0.1291,0.1531
Devin Shore,0.0719,0.0703,0.0732
Jason Dickinson,0.0934,0.0953,0.0915
Nick Ritchie,0.1189,0.1177,0.1223
Evan Rodrigues,0.1311,0.1315,0.1787
Drake Caggiula,0.1070,0.1078,0.0906
Marcus Johansson,0.0863,0.0865,0.0942
Alex Chiasson,0.0804,0.0788,0.1089
Nic Dowd,0.0820,0.0808,0.1061
Josh Archibald,0.0879,0.0870,0.0501
Sean Kuraly,0.1277,0.1260,0.1067
Miles Wood,0.1667,0.1644,0.0506
Sam Bennett,0.1392,0.1376,0.1929
William Nylander,0.1521,0.1542,0.1646
Brett Howden,0.0790,0.0798,0.0738
Tyson Jost,0.1327,0.1341,0.1090
Kyle Clifford,0.1337,0.1317,0.1260
Nick Bjugstad,0.1459,0.1437,0.1398
Jesper Fast,0.0614,0.0608,0.0849
Vincent Trocheck,0.1329,0.1300,0.1160
Adam Lowry,0.0966,0.0972,0.0996
Luke Glendening,0.0802,0.0797,0.1032
Alex Galchenyuk,0.1176,0.1168,0.1085
J.T. Compher,0.0822,0.0823,0.0956
Cal Clutterbuck,0.0684,0.0700,0.0951
Carl Hagelin,0.1206,0.1187,0.1012
Chris Wagner,0.1204,0.1171,0.1451
Zach Sanford,0.0925,0.0935,0.0896
David Kampf,0.0821,0.0817,0.0885
Jeff Carter,0.1533,0.1469,0.1397
Blake Comeau,0.0853,0.0859,0.0319
Kyle Okposo,0.0981,0.0953,0.1323
Derick Brassard,0.0772,0.0783,0.0923
Travis Boyd,0.0510,0.0515,0.0714
Adam Erne,0.1041,0.1026,0.1079
Christian Fischer,0.1032,0.1033,0.1128
Daniel Sprong,0.1552,0.1540,0.1847
Ryan Reaves,0.0714,0.0734,0.0604
Pat Maroon,0.0751,0.0725,0.0992
Marcus Foligno,0.0816,0.0791,0.0907
Riley Sheahan,0.0740,0.0720,0.0945
Josh Leivo,0.1241,0.1238,0.1548
