Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alex Steeves,F,12/10/1999,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,,,,0.010,0.007,0.112,,,,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.012,-0.008,,,
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.343,0.398
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,
Alexander Burmistrov,F,10/21/1991,,,,0.337,0.176,0.163,,,0.178,0.342,0.277,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,0.208,0.129,0.172,0.172,0.035
Alexander Nikulin,F,8/25/1985,,,,,,,,,,,,,,,
Alexander Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alexander Radulov,F,7/5/1986,,,,,,,,,,,,,,,
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,,
Alexander Semin,F,3/3/1984,,,,,,,,,,,,,,,
Alexander Steen,F,3/1/1984,0.027,0.041,-0.014,-0.004,0.004,0.101,0.160,0.109,0.113,0.072,0.001,,,,
Alexander Sulzer,D,5/30/1984,,,,,,,,,,,,,,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,0.244,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,,
Alexander Wennberg,F,9/22/1994,,,,,,,,0.290,0.409,0.396,0.294,0.265,0.328,,
