Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alexey Marchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,,
Aliaksei Protas,,,,,,,,,,,,,,,0.177
Allan Rourke,,,,,,,,,,,,,,,
Anders Bjork,,,,,,,,,,,,,,,
Anders Eriksson,,,,,,,,,,,,,,,
Anders Lee,,,,,,,,,,,,0.057,0.088,0.137,0.055
Andre Benoit,,,,,,,,,,,,,,,
Andre Burakovsky,,,,,,,,0.136,,,,,,,
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,,,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.228,0.053,0.137,0.177,0.069,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Engqvist,,,,,0.455,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,,,,
Andreas Karlsson,0.270,,,,,,,,,,,,,,
Andreas Lilja,,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,,,,,,,
Andreas Nodl,,,,,,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,,,,,,,,,,,,,,,
Andrei Loktionov,,,,0.114,0.174,0.316,0.243,,,,,,,,
Andrei Markov,,,,,,,,,,,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,,,,
Andrei Zyuzin,,,,,,,,,,,,,,,
Andrej Meszaros,,,,,,,,,,,,,,,
Andrej Nestrasil,,,,,,,,0.054,,,,,,,
Andrej Sekera,,,,,,,,,,,,,,,
Andrej Sustr,,,,,,,,,,,,,,,
Andrew Agozzino,,,,,,,,,,,,,0.229,,
Andrew Alberts,,,,,,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Brunette,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,,,,,,,,
Andrew Cogliano,0.293,0.373,0.186,0.457,0.186,0.081,,,,,0.030,,,,
Andrew Copp,,,,,,,,,0.425,0.123,0.244,0.191,0.247,0.109,0.240
Andrew Crescenzi,,,,,,,,,,,,,,,
Andrew Desjardins,,,,0.206,0.233,0.078,0.337,0.208,0.043,0.069,,,,,
Andrew Ebbett,,0.352,0.360,0.378,,0.467,,0.217,,,,,,,
Andrew Ference,,,,,,,,,,,,,,,
Andrew Gordon,,,,,,,,,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew Joudrey,,,,,,,,,,,,,,,
Andrew Ladd,,,,,0.017,0.026,0.025,,,,,,,,
Andrew MacDonald,,,,,,,,,,,,,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Mangiapane,,,,,,,,,,,,,,,0.026
Andrew Miller,,,,,,,,,,,,,,,
Andrew Murray,,0.061,0.145,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,
Andrew Peters,,,,,,,,,,,,,,,
Andrew Poturalski,,,,,,,,,,,,,,,
Andrew Shaw,,,,,0.084,0.354,0.309,0.301,0.147,0.193,0.185,0.202,0.136,0.123,
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Andreoff,,,,,,,,0.188,0.254,0.073,0.069,,,,
Andy Greene,,,,,,,,,,,,,,,
Andy Hilbert,0.128,0.106,,,,,,,,,,,,,
Andy McDonald,0.287,0.176,0.144,0.122,0.108,0.161,,,,,,,,,
Andy Miele,,,,,,,,,,,,,,,
Andy Sutton,,,,,,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,,,,,,,,,,,,,,,
Anssi Salmela,,,,,,,,,,,,,,,
Anthony Angello,,,,,,,,,,,,,,,
Anthony Beauvillier,,,,,,,,,,0.202,0.091,0.026,,,
Anthony Bitetto,,,,,,,,,,,,,,,
Anthony Cirelli,,,,,,,,,,,0.495,0.369,0.382,0.265,0.364
Anthony DeAngelo,,,,,,,,,,,,,,,
Anthony Duclair,,,,,,,,,,,,,,,
Anthony Greco,,,,,,,,,,,,,,,
Anthony Mantha,,,,,,,,,,,0.025,,,,
Anthony Peluso,,,,,,,,,,,,,,,
Anthony Richard,,,,,,,,,,,,,,,
Anthony Stewart,,,,,,,,,,,,,,,
Antoine Roussel,,,,,,0.068,,,,,,,,,
Antoine Vermette,0.370,0.324,0.436,0.443,0.351,0.408,0.494,0.482,0.472,0.394,0.461,,,,
Anton Babchuk,,,,,,,,,,,,,,,
Anton Belov,,,,,,,,,,,,,,,
Anton Blidh,,,,,,,,,,,,,,,
Anton Lander,,,,,0.328,0.231,0.243,0.394,0.428,0.288,,,,,
Anton Lindholm,,,,,,,,,,,,,,,
Anton Lundell,,,,,,,,,,,,,,,0.405
Anton Rodin,,,,,,,,,,,,,,,
Anton Slepyshev,,,,,,,,,,,,,,,
Anton Stralman,,,,,,,,,,,,,,,
Anton Volchenkov,,,,,,,,,,,,,,,
Anton Wedin,,,,,,,,,,,,,,,
Antti Miettinen,,0.021,0.034,0.051,,,,,,,,,,,
Antti Pihlstrom,,,,,,,,,,,,,,,
Antti Suomela,,,,,,,,,,,,0.416,0.217,,
Anze Kopitar,0.344,0.408,0.341,0.359,0.374,0.431,0.396,0.443,0.489,0.508,0.460,0.452,0.428,0.416,0.387
Arron Asham,,,,,,,,,,,,,,,
Artem Anisimov,,,0.359,0.287,0.151,0.453,0.364,0.149,0.460,0.443,0.409,0.309,0.273,0.228,
Artem Zub,,,,,,,,,,,,,,,
Artemi Kniazev,,,,,,,,,,,,,,,
Artemi Panarin,,,,,,,,,,,,,,,
Arthur Kaliyev,,,,,,,,,,,,,,,
Arttu Ruotsalainen,,,,,,,,,,,,,,,0.322
Artturi Lehkonen,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Czarnik,,,,,,,,,,0.119,,0.056,,,0.194
Austin Poganski,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Austin Wagner,,,,,,,,,,,,,,,
Austin Watson,,,,,,,,,,,,,,,
Auston Matthews,,,,,,,,,,0.416,0.278,0.346,0.282,0.372,0.358
Axel Jonsson-Fjallby,,,,,,,,,,,,,,,
B.J. Crombeen,,,0.032,0.044,,,,,,,,,,,
Barclay Goodrow,,,,,,,,,,,0.211,0.282,0.364,0.195,0.285
Barret Jackman,,,,,,,,,,,,,,,
Barrett Hayton,,,,,,,,,,,,,0.171,0.249,0.462
Barry Tallackson,,,,,,,,,,,,,,,
Bates Battaglia,,,,,,,,,,,,,,,
Beau Bennett,,,,,,,,,,,,,,,
Beck Malenstyn,,,,,,,,,,,,,,,
Ben Chiarot,,,,,,,,,,,,,,,
Ben Eager,,,,,,,,,,,,,,,
Ben Gleason,,,,,,,,,,,,,,,
Ben Guite,0.405,0.423,,,,,,,,,,,,,
Ben Hanowski,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,,,,,
Ben Holmstrom,,,,,,,,,,,,,,,
Ben Hutton,,,,,,,,,,,,,,,
Ben Jones,,,,,,,,,,,,,,,
Ben Lovejoy,,,,,,,,,,,,,,,
Ben Maxwell,,0.475,,,0.327,,,,,,,,,,
Ben McCartney,,,,,,,,,,,,,,,
Ben Meyers,,,,,,,,,,,,,,,
Ben Ondrus,,,,,,,,,,,,,,,
Ben Sexton,,,,,,,,,,,,,,,
Ben Smith,,,,,,,0.203,0.272,0.320,0.495,,,,,
Ben Street,,,,,,0.331,0.537,,,,,,,,
Ben Thomas,,,,,,,,,,,,,,,
Ben Thomson,,,,,,,,,,,,,,,
Ben Walter,,,,,,,,,,,,,,,
Benn Ferriero,,,,,,,,,,,,,,,
Benoit Pouliot,0.402,0.283,,,,,,,,,,,,,
Benoit-Olivier Groulx,,,,,,,,,,,,,,,0.227
Bill Arnold,,,,,,,,,,,,,,,
Bill Guerin,,0.026,,,,,,,,,,,,,
Bill Sweatt,,,,,,,,,,,,,,,
Bill Thomas,,0.322,,,,,,,,,,,,,
Blair Betts,0.431,0.521,0.529,0.518,,,,,,,,,,,
Blair Jones,,,,0.277,0.356,0.317,0.251,,,,,,,,
Blake Coleman,,,,,,,,,,0.440,0.251,0.115,0.092,,
Blake Comeau,,,,0.054,0.054,0.090,,,0.203,0.114,0.133,0.026,0.066,0.071,
Blake Geoffrion,,,,0.320,0.199,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Blake Lizotte,,,,,,,,,,,,,0.342,0.334,0.345
Blake Pietila,,,,,,,,,,,,0.183,,,
Blake Speers,,,,,,,,,,,,,,,
Blake Wheeler,,,,0.073,,,,,,0.031,0.119,0.034,0.238,,
Bo Horvat,,,,,,,,0.494,0.522,0.508,0.494,0.547,0.465,0.518,0.465
Bobby Allen,,,,,,,,,,,,,,,
Bobby Brink,,,,,,,,,,,,,,,
Bobby Butler,,,,,,,,,,,,,,,
Bobby Farnham,,,,,,,,,,,,,,,
Bobby Holik,0.477,0.326,,,,,,,,,,,,,
Bobby Robins,,,,,,,,,,,,,,,
Bobby Ryan,,,0.035,0.080,0.033,0.073,,,,,,,,,
Bobby Sanguinetti,,,,,,,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Bogdan Yakimov,,,,,,,,,,,,,,,
