Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,0.09,
Alexander Wennberg,F,9/22/1994,,,,,,,,0.07,0.04,0.05,0.03,0.03,0.02,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,0.08,0.06,0.08,0.08,0.07,0.06,0.11,0.07,0.07,0.05,0.07,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Grenier,F,9/5/1991,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,0.07,0.08,0.08,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,0.05,0.07,0.03
Alexei Ponikarovsky,F,4/9/1980,0.08,0.09,0.12,0.20,0.13,0.15,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
Alexis Lafrenière,F,10/11/2001,,,,,,,,,,,,,,0.07,0.11
Aliaksei Protas,F,1/6/2001,,,,,,,,,,,,,,,0.06
Anders Bjork,F,8/5/1996,,,,,,,,,,,,,0.06,0.08,0.02
Anders Lee,F,7/3/1990,,,,,,,,0.18,0.16,0.16,0.08,0.08,0.09,,0.08
Andre Burakovsky,F,2/9/1995,,,,,,,,0.04,0.04,0.04,0.06,0.04,0.04,0.03,0.04
Andre Deveaux,F,2/23/1984,,,,,,,,,,,,,,,
Andre Petersson,F,9/11/1990,,,,,,,,,,,,,,,
Andre Roy,F,2/8/1975,0.26,0.17,,,,,,,,,,,,,
Andreas Athanasiou,F,8/6/1994,,,,,,,,,0.05,0.04,0.02,0.03,0.04,0.01,
Andreas Engqvist,F,12/23/1987,,,,,,,,,,,,,,,
Andreas Johnsson,F,11/21/1994,,,,,,,,,,,,0.06,0.07,0.06,0.06
Andreas Karlsson,F,8/19/1975,0.06,,,,,,,,,,,,,,
Andreas Martinsen,F,6/13/1990,,,,,,,,,0.26,0.29,,,,,
Andreas Nodl,F,2/28/1987,,0.10,,0.13,0.10,,,,,,,,,,
Andreas Thuresson,F,11/18/1987,,,,,,,,,,,,,,,
Andrei Chibisov,F,2/26/1993,,,,,,,,,,,,,,,
Andrei Kostitsyn,F,2/3/1985,0.10,0.13,0.12,0.12,0.11,,,,,,,,,,
Andrei Loktionov,F,5/30/1990,,,,,0.02,,0.04,,,,,,,,
Andrei Svechnikov,F,3/26/2000,,,,,,,,,,,,0.12,0.12,0.14,0.17
Andrej Nestrasil,F,2/22/1991,,,,,,,,0.08,0.04,,,,,,
Andrew Agozzino,F,1/3/1991,,,,,,,,,,,,,,,
Andrew Brunette,F,8/24/1973,0.00,0.01,0.01,0.00,0.00,,,,,,,,,,
Andrew Cogliano,F,6/14/1987,0.03,0.06,0.08,0.08,0.08,0.06,0.08,0.12,0.12,0.06,0.07,0.07,0.11,0.11,0.12
Andrew Copp,F,7/8/1994,,,,,,,,,0.15,0.12,0.10,0.09,0.06,0.08,0.04
Andrew Crescenzi,F,7/29/1992,,,,,,,,,,,,,,,
Andrew Desjardins,F,7/27/1986,,,,,0.14,0.14,0.13,0.19,0.11,0.18,,,,,
Andrew Ebbett,F,1/2/1983,,0.05,0.06,0.04,,,,,,,,,,,
Andrew Gordon,F,12/13/1985,,,,,0.14,,,,,,,,,,
Andrew Joudrey,F,7/15/1984,,,,,,,,,,,,,,,
Andrew Ladd,F,12/12/1985,0.19,0.11,0.10,0.05,0.05,0.12,0.11,0.16,0.12,0.09,0.07,,,,0.09
Andrew Mangiapane,F,4/4/1996,,,,,,,,,,,,0.10,0.08,0.07,0.07
Andrew Miller,F,9/18/1988,,,,,,,,,,,,,,,
Andrew Murray,F,11/6/1981,0.11,0.23,0.17,,0.23,,,,,,,,,,
Andrew Peters,F,5/5/1980,0.16,,,,,,,,,,,,,,
Andrew Poturalski,F,1/14/1994,,,,,,,,,,,,,,,
Andrew Shaw,F,7/20/1991,,,,,0.16,0.11,0.16,0.13,0.15,0.16,0.11,0.15,,,
Andy Andreoff,F,5/17/1991,,,,,,,,,0.16,0.18,0.18,,,,
Andy Hilbert,F,2/6/1981,0.05,0.05,,,,,,,,,,,,,
Andy McDonald,F,8/25/1977,0.03,0.03,0.03,0.03,,0.00,,,,,,,,,
Andy Miele,F,4/15/1988,,,,,,,,,,,,,,,
Anthony Angello,F,3/6/1996,,,,,,,,,,,,,,,
Anthony Beauvillier,F,6/8/1997,,,,,,,,,,0.10,0.09,0.08,0.08,0.06,0.03
Anthony Cirelli,F,7/15/1997,,,,,,,,,,,,0.10,0.09,0.09,0.06
Anthony Duclair,F,8/26/1995,,,,,,,,,0.03,0.03,0.07,0.04,0.05,0.05,0.04
Anthony Greco,F,9/30/1993,,,,,,,,,,,,,,,
Anthony Mantha,F,9/16/1994,,,,,,,,,,0.05,0.08,0.06,0.07,0.05,0.09
Anthony Peluso,F,4/18/1989,,,,,,,0.28,0.35,0.36,,,,,,
Anthony Richard,F,12/20/1996,,,,,,,,,,,,,,,
Anthony Stewart,F,1/5/1985,,0.17,,0.09,0.15,,,,,,,,,,
Antoine Roussel,F,11/21/1989,,,,,,0.22,0.15,0.11,0.12,0.08,0.12,0.10,0.09,0.18,0.12
