Player,Model I,Model II,2021-22 Actual Score
Justin Schultz,0.1389,0.1451,0.1317
Nick Bjugstad,0.1697,0.1868,0.2405
Cam Fowler,0.1542,0.1478,0.1718
Brandon Saad,0.0764,0.0876,0.2788
Mike Matheson,0.1338,0.1497,0.1916
Matt Grzelcyk,0.0940,0.0907,0.0483
Andreas Johnsson,0.1125,0.0980,0.0947
Tyler Bertuzzi,0.1223,0.1258,0.1846
Conor Sheary,0.1157,0.1086,0.1227
Sam Bennett,0.1589,0.1542,0.2601
William Nylander,0.1998,0.1842,0.2330
Alex Tuch,0.1471,0.1458,0.1116
Pavel Zacha,0.1982,0.1994,0.2175
Roope Hintz,0.2023,0.2168,0.1972
Conor Garland,0.2077,0.2268,0.1382
Troy Terry,0.1399,0.1301,0.1631
Mikhail Sergachev,0.1860,0.1810,0.1851
Alex Iafallo,0.1872,0.1842,0.1969
Derick Brassard,0.1538,0.1516,0.1964
Alex Killorn,0.1415,0.1365,0.1333
Ryan Ellis,0.1792,0.1714,0.1508
Tyler Toffoli,0.1883,0.1826,0.2354
Jaden Schwartz,0.1221,0.1130,0.1702
Tanner Pearson,0.1468,0.1463,0.1370
Tom Wilson,0.1549,0.1620,0.1572
Travis Sanheim,0.1408,0.1352,0.0365
Noah Hanifin,0.1204,0.1236,0.1810
Filip Hronek,0.1501,0.1466,0.1352
Jesperi Kotkaniemi,0.2145,0.2081,0.0888
Andrei Svechnikov,0.2343,0.2328,0.2993
Corey Perry,0.1042,0.1150,0.1922
Paul Stastny,0.1238,0.1157,0.1456
Nick Foligno,0.0914,0.0834,0.0992
Milan Lucic,0.1525,0.1391,0.1092
TJ Brodie,0.0823,0.0957,0.0000
Charlie Coyle,0.0751,0.0744,0.1352
Jakub Vrana,0.1569,0.1542,0.3089
Adrian Kempe,0.2548,0.2585,0.2471
Devon Toews,0.1139,0.1070,0.1233
Viktor Arvidsson,0.1830,0.1818,0.1896
Evan Rodrigues,0.2033,0.2066,0.2772
Rudolfs Balcers,0.1182,0.1278,0.0607
Michael Rasmussen,0.1995,0.2064,0.1533
Duncan Keith,0.1405,0.1406,0.0730
Nick Bonino,0.1141,0.1069,0.1533
