Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,,0.017,
Alexei Ponikarovsky,F,4/9/1980,0.013,0.012,0.016,0.011,0.010,,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
Alexis Lafrenière,F,10/11/2001,,,,,,,,,,,,,,0.018,0.018
Aliaksei Protas,F,1/6/2001,,,,,,,,,,,,,,,0.018
Anders Bjork,F,8/5/1996,,,,,,,,,,,,,,,
Anders Lee,F,7/3/1990,,,,,,,0.016,0.016,0.015,0.019,0.013,0.012,0.012,0.011,0.010
Andre Burakovsky,F,2/9/1995,,,,,,,,0.018,0.018,0.028,0.032,,0.016,0.015,0.020
Andre Deveaux,F,2/23/1984,,,,,,,,,,,,,,,
Andre Roy,F,2/8/1975,,,,,,,,,,,,,,,
Andreas Athanasiou,F,8/6/1994,,,,,,,,,,0.017,0.016,0.016,0.024,0.014,0.013
Andreas Johnsson,F,11/21/1994,,,,,,,,,,,,0.016,0.015,0.014,0.013
Andreas Karlsson,F,8/19/1975,,,,,,,,,,,,,,,
Andreas Martinsen,F,6/13/1990,,,,,,,,,,,,,,,
Andreas Nodl,F,2/28/1987,,,,,,,,,,,,,,,
Andrei Kostitsyn,F,2/3/1985,0.021,0.016,0.016,0.020,0.014,,,,,,,,,,
Andrei Loktionov,F,5/30/1990,,,,0.018,,0.017,0.016,,,,,,,,
Andrei Svechnikov,F,3/26/2000,,,,,,,,,,,,0.019,0.018,0.018,0.026
Andrej Nestrasil,F,2/22/1991,,,,,,,,0.016,0.016,,,,,,
Andrew Agozzino,F,1/3/1991,,,,,,,,,,,,,,,
Andrew Brunette,F,8/24/1973,0.006,0.005,0.008,0.003,0.014,,,,,,,,,,
Andrew Cogliano,F,6/14/1987,0.030,0.017,0.017,0.016,0.016,,,,,,,,,,
Andrew Copp,F,7/8/1994,,,,,,,,,,,,,0.015,0.014,0.020
Andrew Desjardins,F,7/27/1986,,,,,,,,,,,,,,,
Andrew Ebbett,F,1/2/1983,,0.015,0.014,,,,,,,,,,,,
Andrew Gordon,F,12/13/1985,,,,,,,,,,,,,,,
Andrew Ladd,F,12/12/1985,0.017,0.016,0.016,0.019,0.014,0.013,0.012,0.015,0.011,0.010,0.008,,,,0.016
Andrew Mangiapane,F,4/4/1996,,,,,,,,,,,,,0.016,0.016,0.015
Andrew Miller,F,9/18/1988,,,,,,,,,,,,,,,
Andrew Murray,F,11/6/1981,,,,,,,,,,,,,,,
Andrew Peters,F,5/5/1980,,,,,,,,,,,,,,,
Andrew Poturalski,F,1/14/1994,,,,,,,,,,,,,,,
Andrew Shaw,F,7/20/1991,,,,,0.034,0.017,0.017,0.016,0.016,0.015,0.014,0.013,0.012,0.012,
Andy Andreoff,F,5/17/1991,,,,,,,,,,,,,,,
Andy Hilbert,F,2/6/1981,,0.013,,,,,,,,,,,,,
Andy McDonald,F,8/25/1977,0.011,0.015,0.012,0.012,0.006,0.005,,,,,,,,,
Andy Miele,F,4/15/1988,,,,,,,,,,,,,,,
Anthony Angello,F,3/6/1996,,,,,,,,,,,,,,,
Anthony Beauvillier,F,6/8/1997,,,,,,,,,,0.018,0.018,0.017,0.017,0.016,0.016
Anthony Cirelli,F,7/15/1997,,,,,,,,,,,,,0.032,0.016,0.025
Anthony Duclair,F,8/26/1995,,,,,,,,,0.018,0.017,0.027,0.033,0.016,0.015,0.019
Anthony Mantha,F,9/16/1994,,,,,,,,,,0.026,0.016,0.016,0.015,0.014,0.013
Anthony Peluso,F,4/18/1989,,,,,,,,,,,,,,,
Anthony Stewart,F,1/5/1985,,,,0.025,,,,,,,,,,,
Antoine Roussel,F,11/21/1989,,,,,,,,0.015,0.043,0.028,,,0.011,,
Antoine Vermette,F,7/20/1982,0.015,0.014,0.023,0.012,0.012,0.011,0.015,0.008,0.007,0.021,0.005,,,,
Anton Blidh,F,3/14/1995,,,,,,,,,,,,,,,
Anton Lander,F,4/24/1991,,,,,,,,0.029,0.016,,,,,,
Anton Lundell,F,10/3/2001,,,,,,,,,,,,,,,0.018
Anton Rodin,F,11/21/1990,,,,,,,,,,,,,,,
Anton Slepyshev,F,5/13/1994,,,,,,,,,,,,,,,
Antti Miettinen,F,7/3/1980,0.013,0.012,0.012,0.011,0.010,,,,,,,,,,
Antti Pihlstrom,F,10/22/1984,,,,,,,,,,,,,,,
Antti Suomela,F,3/17/1994,,,,,,,,,,,,,,,
Anze Kopitar,F,8/24/1987,0.018,0.027,0.020,0.020,0.026,0.015,0.018,0.013,0.022,0.016,0.011,0.010,0.008,0.007,0.014
Arron Asham,F,4/13/1978,0.012,,,,,,,,,,,,,,
