Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Anton Stralman,D,8/1/1986,0.057,0.070,0.049,0.040,0.043,0.046,0.042,0.041,0.035,0.035,0.031,0.027,0.029,0.031,0.026
Anton Volchenkov,D,2/25/1982,0.063,0.055,0.053,0.059,0.053,0.098,0.046,0.045,,,,,,,
Artem Zub,D,10/3/1995,,,,,,,,,,,,,,0.057,0.063
Artemi Kniazev,D,1/4/2001,,,,,,,,,,,,,,,
Arturs Kulda,D,7/25/1988,,,,,,,,,,,,,,,
Ashton Sautner,D,5/27/1994,,,,,,,,,,,,,,,
Austin Strand,D,2/17/1997,,,,,,,,,,,,,,,
Barret Jackman,D,3/5/1981,0.073,0.075,0.079,0.063,0.060,0.064,0.086,0.056,0.096,,,,,,
Ben Chiarot,D,5/9/1991,,,,,,,,0.061,0.058,0.062,0.060,0.071,0.067,0.083,0.054
Ben Gleason,D,3/25/1998,,,,,,,,,,,,,,,
Ben Harpur,D,1/12/1995,,,,,,,,,,,0.062,0.071,,0.060,
Ben Hutton,D,4/20/1993,,,,,,,,,0.038,0.051,0.050,0.053,0.038,0.042,0.061
Ben Lovejoy,D,2/20/1984,,,,0.084,0.054,0.074,0.049,0.046,0.049,0.040,0.046,0.056,,,
Ben Thomas,D,5/28/1996,,,,,,,,,,,,,,,
Blake Hillman,D,1/26/1996,,,,,,,,,,,,,,,
Bobby Allen,D,11/14/1978,,,,,,,,,,,,,,,
Bobby Sanguinetti,D,2/29/1988,,,,,,0.034,,,,,,,,,
Bogdan Kiselevich,D,2/14/1990,,,,,,,,,,,,0.050,,,
Boris Valabik,D,2/14/1986,,0.166,,,,,,,,,,,,,
Bowen Byram,D,6/13/2001,,,,,,,,,,,,,,,
Brad Hunt,D,8/24/1988,,,,,,,,,,,0.032,0.037,0.026,,0.036
Brad Lukowich,D,8/12/1976,0.038,0.034,,,,,,,,,,,,,
Brad Stuart,D,11/6/1979,0.049,0.040,0.035,0.049,0.035,0.041,0.052,0.029,,,,,,,
Braden Schneider,D,9/20/2001,,,,,,,,,,,,,,,0.043
Brady Austin,D,6/16/1993,,,,,,,,,,,,,,,
Brady Keeper,D,6/5/1996,,,,,,,,,,,,,,,
Brady Skjei,D,3/26/1994,,,,,,,,,,0.057,0.050,0.055,0.061,0.053,0.053
Brandon Carlo,D,11/26/1996,,,,,,,,,,0.065,0.061,0.063,0.054,,0.044
Brandon Davidson,D,8/21/1991,,,,,,,,,0.048,0.061,0.055,,,,
Brandon Gormley,D,2/18/1992,,,,,,,,,,,,,,,
Brandon Manning,D,6/4/1990,,,,,,,,,0.101,0.103,0.077,0.073,,,
Brandon Montour,D,4/11/1994,,,,,,,,,,,0.054,0.058,0.055,0.064,0.061
Branislav Mezei,D,10/8/1980,0.096,,,,,,,,,,,,,,
Brayden McNabb,D,1/21/1991,,,,,,,,0.079,0.088,0.102,0.061,0.060,0.057,0.043,0.054
Brayden Pachal,D,8/23/1999,,,,,,,,,,,,,,,
Braydon Coburn,D,2/27/1985,0.077,0.087,0.061,0.053,0.058,0.084,0.059,0.057,0.068,0.059,0.058,0.050,0.049,,
Brendan Bell,D,3/31/1983,,0.054,,,,,,,,,,,,,
Brendan Guhle,D,7/29/1997,,,,,,,,,,,,,,,
Brendan Mikkelson,D,6/22/1987,,0.062,,,0.050,,,,,,,,,,
Brendan Smith,D,2/8/1989,,,,,,0.078,0.081,0.076,0.081,0.090,0.113,0.101,0.133,0.123,0.079
Brendan Witt,D,2/20/1975,0.053,0.086,0.077,,,,,,,,,,,,
Brenden Dillon,D,11/13/1990,,,,,,0.086,0.070,0.073,0.075,0.071,0.069,0.068,0.097,0.066,0.071
Brendon Nash,D,3/31/1987,,,,,,,,,,,,,,,
Brennan Menell,D,5/24/1997,,,,,,,,,,,,,,,
Brent Burns,D,3/9/1985,0.065,0.067,0.056,0.071,0.044,,0.055,0.061,0.050,0.046,0.041,0.038,0.041,0.046,0.039
Brent Regner,D,5/17/1989,,,,,,,,,,,,,,,
Brent Seabrook,D,4/20/1985,0.073,0.057,0.053,0.047,0.038,0.043,0.034,0.037,0.040,0.037,0.046,0.052,0.034,,
Brent Sopel,D,1/7/1977,0.038,,0.047,0.032,,,,,,,,,,,
Bret Hedican,D,8/10/1970,0.069,0.062,,,,,,,,,,,,,
Brett Bellemore,D,6/25/1988,,,,,,,0.069,0.061,,,,,,,
Brett Carson,D,11/29/1985,,,0.036,,,,,,,,,,,,
Brett Clark,D,12/23/1976,0.042,0.037,0.040,0.026,0.032,,,,,,,,,,
Brett Festerling,D,3/3/1986,,0.055,0.052,,,,,,,,,,,,
Brett Kulak,D,1/6/1994,,,,,,,,,,,0.057,0.057,0.038,0.049,0.061
Brett Lebda,D,1/15/1982,0.064,0.080,0.050,0.054,,,,,,,,,,,
Brett Lernout,D,9/24/1995,,,,,,,,,,,,,,,
Brett Pesce,D,11/15/1994,,,,,,,,,0.042,0.040,0.040,0.044,0.050,0.044,0.053
Brett Skinner,D,6/28/1983,,,,,,,,,,,,,,,
Brian Campbell,D,5/23/1979,0.037,0.036,0.034,0.026,0.023,0.027,0.028,0.030,0.033,0.032,,,,,
Brian Dumoulin,D,9/6/1991,,,,,,,,,0.036,0.035,0.044,0.038,,0.038,0.035
Brian Fahey,D,3/2/1981,,,,,,,,,,,,,,,
Brian Lashoff,D,7/16/1990,,,,,,0.044,0.064,,,,,,,,
Brian Lee,D,3/26/1987,,0.060,,0.053,0.072,,,,,,,,,,
Brian Pothier,D,4/15/1977,0.056,,0.041,,,,,,,,,,,,
Brian Rafalski,D,9/28/1973,0.039,0.027,0.030,0.028,,,,,,,,,,,
Brian Salcido,D,4/14/1985,,,,,,,,,,,,,,,
Brian Strait,D,1/4/1988,,,,,,,0.045,0.059,0.064,,,,,,
Brinson Pasichnuk,D,11/24/1997,,,,,,,,,,,,,,,
Brogan Rafferty,D,5/28/1995,,,,,,,,,,,,,,,
Brooks Orpik,D,9/26/1980,0.055,0.069,0.061,0.063,0.050,0.043,0.054,0.061,0.047,0.052,0.065,0.059,,,
Bruno Gervais,D,10/3/1984,0.053,0.052,0.050,0.062,0.037,0.040,,,,,,,,,
Bryan Allen,D,8/21/1980,0.055,,0.077,0.082,0.074,0.067,0.092,,,,,,,,
Bryan Berard,D,3/5/1977,0.070,,,,,,,,,,,,,,
Bryan Helmer,D,7/15/1972,,,,,,,,,,,,,,,
Bryan McCabe,D,6/8/1975,0.085,0.044,0.063,0.041,,,,,,,,,,,
Bryan Rodney,D,4/22/1984,,,,,,,,,,,,,,,
Bryan Young,D,8/6/1986,,,,,,,,,,,,,,,
Bryce Salvador,D,2/11/1976,0.059,0.065,0.057,,0.058,0.047,0.056,,,,,,,,
Cade Fairchild,D,1/15/1989,,,,,,,,,,,,,,,
Cal Foote,D,12/13/1998,,,,,,,,,,,,,,0.095,0.067
Cale Fleury,D,11/19/1998,,,,,,,,,,,,,0.039,,
Cale Makar,D,10/30/1998,,,,,,,,,,,,,0.038,0.037,0.041
Caleb Jones,D,6/6/1997,,,,,,,,,,,,,0.044,0.041,0.048
Calen Addison,D,4/11/2000,,,,,,,,,,,,,,,
Calle Rosen,D,2/2/1994,,,,,,,,,,,,,,,
Calvin de Haan,D,5/9/1991,,,,,,,0.055,0.046,0.040,0.044,0.040,0.039,,0.039,0.050
Cam Barker,D,4/4/1986,0.082,0.064,0.067,0.063,,,,,,,,,,,
Cam Dineen,D,6/19/1998,,,,,,,,,,,,,,,0.035
Cam Fowler,D,12/5/1991,,,,0.039,0.040,0.034,0.037,0.035,0.048,0.034,0.046,0.038,0.038,0.037,0.030
Cam York,D,1/5/2001,,,,,,,,,,,,,,,
Cameron Gaunce,D,3/19/1990,,,,,,,,,,,,,,,
Cameron Schilling,D,10/7/1988,,,,,,,,,,,,,,,
Carl Dahlstrom,D,1/28/1995,,,,,,,,,,,,0.033,,,
Carl Gunnarsson,D,11/9/1986,,,0.040,0.040,0.039,0.046,0.049,0.025,0.051,0.027,0.042,,0.051,,
Carl Sneep,D,11/5/1987,,,,,,,,,,,,,,,
Carlo Colaiacovo,D,1/27/1983,,0.051,0.081,0.042,0.044,,,0.040,0.040,,,,,,
Carson Soucy,D,7/27/1994,,,,,,,,,,,,,0.046,0.091,0.066
Casey Borer,D,7/28/1985,,,,,,,,,,,,,,,
Casey Fitzgerald,D,2/25/1997,,,,,,,,,,,,,,,0.090
Casey Nelson,D,7/18/1992,,,,,,,,,,,0.035,0.049,,,
Chad Billins,D,5/26/1989,,,,,,,,,,,,,,,
Chad Ruhwedel,D,5/7/1990,,,,,,,,,,0.040,0.048,,0.045,,0.034
Charlie McAvoy,D,12/21/1997,,,,,,,,,,,0.069,0.067,0.057,0.057,0.062
Chase Priskie,D,3/19/1996,,,,,,,,,,,,,,,
Chay Genoway,D,12/20/1986,,,,,,,,,,,,,,,
Chris Bigras,D,2/22/1995,,,,,,,,,0.069,,,,,,
Chris Breen,D,6/29/1989,,,,,,,,,,,,,,,
Chris Butler,D,10/27/1986,,0.044,0.038,0.046,0.043,0.053,0.052,0.057,,,,,,,
Chris Campoli,D,7/9/1984,0.048,0.057,0.041,0.045,0.037,,,,,,,,,,
Chris Chelios,D,1/25/1962,0.033,,,,,,,,,,,,,,
Chris Phillips,D,3/9/1978,0.055,0.057,0.042,0.038,0.032,0.052,0.042,0.034,,,,,,,
Chris Pronger,D,10/10/1974,0.068,0.064,0.054,0.061,,,,,,,,,,,
Chris Summers,D,2/5/1988,,,,,,,,,,,,,,,
Chris Wideman,D,1/7/1990,,,,,,,,,0.065,0.069,,,,,0.082
Christian Backman,D,4/28/1980,0.065,0.057,,,,,,,,,,,,,
Christian Djoos,D,8/6/1994,,,,,,,,,,,0.038,0.033,,0.051,
Christian Ehrhoff,D,7/6/1982,0.064,0.066,0.045,0.055,0.054,0.054,0.046,0.050,0.072,,,,,,
Christian Folin,D,2/9/1991,,,,,,,,0.040,,0.062,0.054,0.062,,,
Christian Jaros,D,4/2/1996,,,,,,,,,,,,0.060,,,
Christian Wolanin,D,3/17/1995,,,,,,,,,,,,,,,
Christoph Schubert,D,2/5/1982,0.088,0.071,0.114,,,,,,,,,,,,
Christopher Tanev,D,12/20/1989,,,,,,0.037,0.033,0.032,0.030,0.040,0.035,0.042,0.059,0.027,0.034
Clay Wilson,D,4/5/1983,,,,,,,,,,,,,,,
Clayton Stoner,D,2/19/1985,,,,0.114,0.101,0.072,0.134,0.084,0.121,,,,,,
Cody Ceci,D,12/21/1993,,,,,,,0.049,0.033,0.042,0.040,0.033,0.035,0.041,0.036,0.032
Cody Franson,D,8/8/1987,,,0.049,0.053,0.052,0.034,0.045,0.046,0.048,0.050,,,,,
Cody Goloubef,D,11/30/1989,,,,,,,,0.061,0.057,0.074,,,,,
Colby Cohen,D,4/25/1989,,,,,,,,,,,,,,,
Colby Robak,D,4/24/1990,,,,,,,,,,,,,,,
Colin Miller,D,10/29/1992,,,,,,,,,0.074,0.091,0.063,0.060,0.052,0.058,0.053
Colin White,D,12/12/1977,0.039,0.055,0.036,0.059,0.047,,,,,,,0.025,0.050,0.033,
Colten Teubert,D,3/8/1990,,,,,,,,,,,,,,,
Colton Parayko,D,5/12/1993,,,,,,,,,0.045,0.047,0.034,0.032,0.037,0.044,0.034
Colton White,D,5/3/1997,,,,,,,,,,,,,,,
Connor Carrick,D,4/13/1994,,,,,,,0.069,,,0.074,0.065,0.062,,,
Connor Clifton,D,4/28/1995,,,,,,,,,,,,,0.054,0.077,0.061
Connor Mackey,D,9/12/1996,,,,,,,,,,,,,,,
Connor Murphy,D,3/26/1993,,,,,,,,0.066,0.061,0.061,0.055,0.063,0.050,0.059,0.065
Conor Allen,D,1/31/1990,,,,,,,,,,,,,,,
Conor Timmins,D,9/18/1998,,,,,,,,,,,,,,0.042,
Corey Potter,D,1/5/1984,,,,,0.045,0.032,,,,,,,,,
Corey Schueneman,D,9/2/1995,,,,,,,,,,,,,,,
Cory Murphy,D,2/13/1978,0.053,0.055,,,,,,,,,,,,,
Cory Sarich,D,8/16/1978,0.102,0.086,0.068,0.077,0.087,,0.063,,,,,,,,
Craig Rivet,D,9/13/1974,0.099,0.095,0.063,0.074,,,,,,,,,,,
Dakota Mermis,D,1/5/1994,,,,,,,,,,,,,,,
Dalton Prout,D,3/13/1990,,,,,,,0.075,0.106,0.123,,,,,,
Damon Severson,D,8/7/1994,,,,,,,,0.048,0.052,0.064,0.056,0.058,0.058,0.051,0.054
Dan Boyle,D,7/12/1976,0.061,0.047,0.049,0.053,0.049,0.041,0.039,0.028,0.037,,,,,,
Dan Girardi,D,4/29/1984,0.037,0.051,0.048,0.044,0.034,0.034,0.029,0.035,0.035,0.035,0.037,0.030,,,
Dan Hamhuis,D,12/13/1982,0.054,0.052,0.056,0.043,0.042,0.034,0.036,0.058,0.043,0.036,0.038,0.050,0.060,,
Dan Jancevski,D,6/15/1981,,,,,,,,,,,,,,,
Dan Renouf,D,6/1/1994,,,,,,,,,,,,,,,
Daniel Brickley,D,3/30/1995,,,,,,,,,,,,,,,
Daniel Tjarnqvist,D,10/14/1976,,0.032,,,,,,,,,,,,,
Daniil Miromanov,D,7/11/1997,,,,,,,,,,,,,,,
Danny Biega,D,9/29/1991,,,,,,,,,,,,,,,
