Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Alex Steeves,F,12/10/1999,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,,,,0.030,0.025,0.095,,,,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.088,0.054,,,
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.382,0.389
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,
Alexander Burmistrov,F,10/21/1991,,,,0.356,0.239,0.236,,,0.163,0.275,0.304,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,0.206,0.242,0.202,0.154,0.061
Alexander Nikulin,F,8/25/1985,,,,,,,,,,,,,,,
Alexander Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alexander Radulov,F,7/5/1986,,,,,,,,,,,,,,,
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,,
Alexander Semin,F,3/3/1984,,,,,,,,,,,,,,,
Alexander Steen,F,3/1/1984,0.054,0.087,0.030,0.030,0.065,0.124,0.193,0.149,0.120,0.074,0.024,,,,
Alexander Sulzer,D,5/30/1984,,,,,,,,,,,,,,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,0.285,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,,
Alexander Wennberg,F,9/22/1994,,,,,,,,0.314,0.395,0.433,0.304,0.309,0.328,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Bolduc,F,6/26/1985,,,0.321,0.249,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,,0.027,,,,0.057,0.031,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Grenier,F,9/5/1991,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,,,,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,0.093,0.194,0.057
Alexei Emelin,D,4/25/1986,,,,,,,,,,,,,,,
Alexei Ponikarovsky,F,4/9/1980,,,,,,,,,,,,,,,
Alexei Semenov,D,4/10/1981,,,,,,,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,,,,,,,
Alexis Lafrenière,F,10/11/2001,,,,,,,,,,,,,,,
Aliaksei Protas,F,1/6/2001,,,,,,,,,,,,,,,0.186
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Bjork,F,8/5/1996,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,,,,,,,,,,,,,,,
Anders Lee,F,7/3/1990,,,,,,,,,,,,0.054,0.073,0.135,0.055
Andre Benoit,D,1/6/1984,,,,,,,,,,,,,,,
Andre Burakovsky,F,2/9/1995,,,,,,,,0.169,,,,,,,
Andre Deveaux,F,2/23/1984,,,,,,,,,,,,,,,
Andre Petersson,F,9/11/1990,,,,,,,,,,,,,,,
Andre Roy,F,2/8/1975,,,,,,,,,,,,,,,
Andreas Athanasiou,F,8/6/1994,,,,,,,,,0.188,0.062,0.109,0.139,0.052,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Engqvist,F,12/23/1987,,,,,0.309,,,,,,,,,,
Andreas Johnsson,F,11/21/1994,,,,,,,,,,,,,,,
Andreas Karlsson,F,8/19/1975,0.330,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,,,,,,,,,,,,,,,
Andreas Martinsen,F,6/13/1990,,,,,,,,,,,,,,,
Andreas Nodl,F,2/28/1987,,,,,,,,,,,,,,,
Andreas Thuresson,F,11/18/1987,,,,,,,,,,,,,,,
Andrei Chibisov,F,2/26/1993,,,,,,,,,,,,,,,
Andrei Kostitsyn,F,2/3/1985,,,,,,,,,,,,,,,
Andrei Loktionov,F,5/30/1990,,,,0.125,0.160,0.219,0.186,,,,,,,,
Andrei Markov,D,12/20/1978,,,,,,,,,,,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Svechnikov,F,3/26/2000,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,,,,,,,,,,,,,,,
Andrej Nestrasil,F,2/22/1991,,,,,,,,0.088,,,,,,,
Andrej Sekera,D,6/8/1986,,,,,,,,,,,,,,,
Andrej Sustr,D,11/29/1990,,,,,,,,,,,,,,,
Andrew Agozzino,F,1/3/1991,,,,,,,,,,,,,0.235,,
Andrew Alberts,D,6/30/1981,,,,,,,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,,,,,,,
Andrew Brunette,F,8/24/1973,,,,,,,,,,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,,,,,,,,
Andrew Cogliano,F,6/14/1987,0.234,0.250,0.159,0.337,0.141,0.046,,,,,0.031,,,,
Andrew Copp,F,7/8/1994,,,,,,,,,0.393,0.139,0.274,0.242,0.281,0.124,0.273
Andrew Crescenzi,F,7/29/1992,,,,,,,,,,,,,,,
Andrew Desjardins,F,7/27/1986,,,,0.262,0.266,0.093,0.411,0.213,0.042,0.092,,,,,
Andrew Ebbett,F,1/2/1983,,0.335,0.355,0.315,,0.308,,0.184,,,,,,,
Andrew Ference,D,3/17/1979,,,,,,,,,,,,,,,
Andrew Gordon,F,12/13/1985,,,,,,,,,,,,,,,
Andrew Hutchinson,D,3/24/1980,,,,,,,,,,,,,,,
Andrew Joudrey,F,7/15/1984,,,,,,,,,,,,,,,
Andrew Ladd,F,12/12/1985,,,,,0.021,0.031,0.016,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,,,,,,,,,,,,,
