Player,Model I,Model II,2021-22 Actual Score
Reilly Smith,0.2190,0.2221,0.2870
Jason Zucker,0.1655,0.1632,0.2596
William Karlsson,0.1654,0.1703,0.0893
Jeff Carter,0.1910,0.1952,0.2303
James van Riemsdyk,0.2223,0.2278,0.2050
Adam Henrique,0.1833,0.1770,0.1768
Nazem Kadri,0.2190,0.2100,0.2653
Vincent Trocheck,0.1832,0.1850,0.1454
Rickard Rakell,0.2417,0.2549,0.2003
Anthony Mantha,0.2821,0.2788,0.1154
Jason Spezza,0.1822,0.1875,0.1670
Dustin Brown,0.1465,0.1574,0.1851
Patric Hornqvist,0.2566,0.2521,0.1966
Jordan Eberle,0.1538,0.1537,0.1057
Brayden Schenn,0.1906,0.1902,0.1877
Chris Kreider,0.2094,0.2098,0.2749
Taylor Hall,0.2129,0.1979,0.1837
Pavel Buchnevich,0.1592,0.1535,0.2194
Ryan Getzlaf,0.1348,0.1344,0.1775
Jamie Benn,0.1771,0.1727,0.1736
Pat Maroon,0.1016,0.0912,0.1247
Jakob Silfverberg,0.1733,0.1716,0.1716
Evander Kane,0.2208,0.2198,0.2070
Kevin Hayes,0.1874,0.1911,0.1840
Ryan Dzingel,0.1668,0.1886,0.1500
Andreas Athanasiou,0.1573,0.1475,0.2210
Jake Guentzel,0.1968,0.1971,0.2184
Max Domi,0.2014,0.1919,0.2285
Kevin Fiala,0.3290,0.3385,0.2402
Jake DeBrusk,0.1602,0.1580,0.2324
Nico Hischier,0.2187,0.2228,0.1880
Filip Forsberg,0.2752,0.2661,0.2522
Timo Meier,0.2471,0.2605,0.3032
Casey Mittelstadt,0.1764,0.1754,0.1594
Brady Tkachuk,0.2840,0.2938,0.3467
Marcus Johansson,0.0785,0.0750,0.1343
Yanni Gourde,0.1467,0.1584,0.1314
J.T. Compher,0.1386,0.1348,0.1110
Nick Ritchie,0.1721,0.1673,0.1768
Pierre-Luc Dubois,0.2148,0.2122,0.2272
Max Pacioretty,0.3207,0.3052,0.3749
Wayne Simmonds,0.1520,0.1513,0.0580
Tyler Johnson,0.1260,0.1286,0.1031
Tyler Bozak,0.1426,0.1463,0.0000
Tomas Tatar,0.1511,0.1524,0.1156
Craig Smith,0.1659,0.1603,0.2181
Brock Nelson,0.2335,0.2248,0.2601
Ondrej Palat,0.1389,0.1428,0.1125
Anthony Duclair,0.2112,0.2111,0.2211
Nick Schmaltz,0.1565,0.1582,0.1563
Ryan Donato,0.2114,0.2046,0.2482
Frank Vatrano,0.1566,0.1762,0.2254
Travis Konecny,0.1468,0.1472,0.1757
Jesper Bratt,0.1425,0.1513,0.0976
Mathieu Perreault,0.1362,0.1336,0.0887
Brendan Gallagher,0.1577,0.1551,0.1946
Ryan Strome,0.1276,0.1335,0.1507
Josh Anderson,0.1419,0.1365,0.1169
Nikolaj Ehlers,0.3431,0.3507,0.2985
Danton Heinen,0.2018,0.2174,0.1118
Jack Roslovic,0.1597,0.1575,0.1287
Robert Thomas,0.1107,0.1059,0.1290
James Neal,0.1621,0.1581,0.3269
Nick Bjugstad,0.1697,0.1868,0.2405
Brandon Saad,0.0764,0.0876,0.2788
Andreas Johnsson,0.1125,0.0980,0.0947
Tyler Bertuzzi,0.1223,0.1258,0.1846
Conor Sheary,0.1157,0.1086,0.1227
Sam Bennett,0.1589,0.1542,0.2601
William Nylander,0.1998,0.1842,0.2330
Alex Tuch,0.1471,0.1458,0.1116
Pavel Zacha,0.1982,0.1994,0.2175
Roope Hintz,0.2023,0.2168,0.1972
Conor Garland,0.2077,0.2268,0.1382
Troy Terry,0.1399,0.1301,0.1631
Alex Iafallo,0.1872,0.1842,0.1969
Derick Brassard,0.1538,0.1516,0.1964
Alex Killorn,0.1415,0.1365,0.1333
Tyler Toffoli,0.1883,0.1826,0.2354
Jaden Schwartz,0.1221,0.1130,0.1702
Tanner Pearson,0.1468,0.1463,0.1370
Tom Wilson,0.1549,0.1620,0.1572
Jesperi Kotkaniemi,0.2145,0.2081,0.0888
Andrei Svechnikov,0.2343,0.2328,0.2993
Corey Perry,0.1042,0.1150,0.1922
Paul Stastny,0.1238,0.1157,0.1456
Nick Foligno,0.0914,0.0834,0.0992
Milan Lucic,0.1525,0.1391,0.1092
Charlie Coyle,0.0751,0.0744,0.1352
Jakub Vrana,0.1569,0.1542,0.3089
Adrian Kempe,0.2548,0.2585,0.2471
Viktor Arvidsson,0.1830,0.1818,0.1896
Evan Rodrigues,0.2033,0.2066,0.2772
Rudolfs Balcers,0.1182,0.1278,0.0607
Michael Rasmussen,0.1995,0.2064,0.1533
Nick Bonino,0.1141,0.1069,0.1533
Lars Eller,0.1614,0.1507,0.1091
